"Animal","Sampling","Drug","DR_1","DR_3","DR_5","dRear_1","dRear_3","dRear_5","Number_Events","Number_SO_Coupled","Percent_SO_Coupled","Number_Spi_Coupled","Percent_Spi_Coupled","Mean_Angle","Median_Angle","Spi_excluded"
"11-P11-R1",1,"SAL",0.67,0.67,0.38,"-15.38",-7.78,-8.49,8,8,5.56,8,6.25,1.42,6.23,0
"11-P11-R1",2,"MUS",0,0.33,-0.07,"40.26",19.35,17.24,5,4,4.94,5,10.2,0.05,0.46,0
"12-P11-G2",1,"MUS",1,-0.13,-0.26,"25",-1.15,-10.64,38,37,5.08,37,18.59,0,-0.07,0
"12-P11-G2",2,"SAL",1,0.4,0.44,"8.45",-22.47,-27.27,17,16,3.66,17,11.33,-1.85,-1.6,0
"02-P10-B1",1,"MUS",0.14,0.38,0.8,"-18.7",-12.13,-20.4,12,12,5.31,12,8.22,0.52,5.8,0
"03-P10-R2",1,"MUS",0.2,0.07,0.51,"-10.27",-9.73,-18.96,22,21,4.79,22,14.19,-0.22,-0.13,0
"04-P10-B2",1,"MUS",0,-0.22,0.22,"17.35",-8.11,-1.5,4,4,2.48,4,5.19,-0.18,4.99,0
"05-P10-S1",1,"MUS",0.15,0.37,0.47,"-37.36",-6.93,2.32,11,11,11.83,11,17.19,2.58,2.71,0
"06-P10-R1",1,"MUS",0.33,0.7,0.86,"-24.96",-15.58,-14.04,5,5,4.17,5,4.59,1.02,1.33,0
"07-P10-G1",1,"SAL",0.69,0.52,0.55,"-57.21",-46.51,-33.93,16,15,5.84,16,13.68,-1.14,-1.62,0
"08-P10-S2",1,"SAL",1,0.67,0.27,"-40.53",-18.21,-24.79,26,24,7.19,26,21.31,-0.49,-0.54,0
"09-P10-B2",1,"SAL",1,1,1,"-27.63",-18.08,-9.49,35,33,7.25,34,23.94,0.15,-0.02,0
"10-P10-G2",1,"SAL",0.55,0.53,-0.15,"-13.23",-30,-23.1,17,17,7.05,17,25,2.22,-2.88,0
"02-P10-B1",2,"SAL",0.8,0.71,0.68,"-34.91",-29.5,-22.63,20,19,5.49,20,17.09,2.97,3.1,0
"03-P10-R2",2,"SAL",0.6,0.31,0.04,"-40.77",-50.27,-47.17,13,13,5.73,13,13.98,0.26,0.71,0
"04-P10-B2",2,"SAL",-0.33,-0.06,-0.18,"-30.68",8.79,-12.04,3,3,2.52,3,3.66,-0.59,-0.82,0
"06-P10-R1",2,"SAL",0.71,-0.28,-0.33,"-23.29",-28.79,-18.4,10,9,10.98,10,11.11,0.82,0.95,0
"07-P10-G1",2,"MUS",-0.12,-0.43,0.09,"-33.8",-28.14,-27.8,8,8,4.82,7,11.48,-0.15,-0.48,0
"08-P10-S2",2,"MUS",0.65,0.64,0.44,"-3.03",-13.97,-15.93,17,17,5.54,17,16.19,-0.38,-0.22,0
"09-P10-B2",2,"MUS",0.6,0.6,0.64,"19.52",32.24,12.05,23,22,4.91,23,18.7,0.58,0.78,0
"10-P10-G2",2,"MUS",1,0,0.08,"0.76",-16.04,-24.17,21,21,7.32,21,24.14,-1.21,-1.41,0
