"id","Sampling","Animal","Drug","DR_1","DR_3","DR_5","dRear_1","dRear_3","dRear_5","Number_Spi","Densitiy_permin","Mean_Duration","Mean_Power"
"02","1","02-P10-B1","MUS",0.14,0.38,0.8,-18.7,-12.13,-20.4,146,2.8258064516129,0.600191780821918,0.0213417868806162
"02","2","02-P10-B1","SAL",0.8,0.71,0.68,-34.91,-29.5,-22.63,117,2.1144578313253,0.568025641025641,0.0260454773221617
"03","1","03-P10-R2","MUS",0.2,0.07,0.51,-10.27,-9.73,-18.96,155,2.5,0.638348387096774,0.0325576132241062
"03","2","03-P10-R2","SAL",0.6,0.31,0.04,-40.77,-50.27,-47.17,93,2.30578512396694,0.557215053763441,0.0269913128257616
"04","1","04-P10-B2","MUS",0,-0.22,0.22,17.35,-8.11,-1.5,77,1.71747211895911,0.517987012987013,0.014383249970369
"04","2","04-P10-B2","SAL",-0.33,-0.06,-0.18,-30.68,8.79,-12.04,82,1.74468085106383,0.614036585365854,0.0200993156658959
"05","1","05-P10-S1","MUS",0.15,0.37,0.47,-37.36,-6.93,2.32,64,2.32727272727273,0.56746875,0.0230255115954145
"06","1","06-P10-R1","MUS",0.33,0.7,0.86,-24.96,-15.58,-14.04,109,1.87392550143266,0.550807339449541,0.0137696744378479
"06","2","06-P10-R1","SAL",0.71,-0.28,-0.33,-23.29,-28.79,-18.4,90,2.06896551724138,0.584811111111111,0.018261211015142
"07","1","07-P10-G1","SAL",0.69,0.52,0.55,-57.21,-46.51,-33.93,117,2.22151898734177,0.572675213675213,0.0283906525452108
"07","2","07-P10-G1","MUS",-0.12,-0.43,0.09,-33.8,-28.14,-27.8,61,1.69444444444444,0.55516393442623,0.0262277582616078
"08","1","08-P10-S2","SAL",1,0.67,0.27,-40.53,-18.21,-24.79,122,2.47297297297297,0.605155737704918,0.0267042890288335
"08","2","08-P10-S2","MUS",0.65,0.64,0.44,-3.03,-13.97,-15.93,105,2.22614840989399,0.574228571428572,0.0255921916126245
"09","1","09-P10-B2","SAL",1,1,1,-27.63,-18.08,-9.49,142,2.69620253164557,0.545330985915493,0.0349866888892869
"09","2","09-P10-B2","MUS",0.6,0.6,0.64,19.52,32.24,12.05,123,2.38064516129032,0.599081300813008,0.0344788040100648
"10","1","10-P10-G2","SAL",0.55,0.53,-0.15,-13.23,-30,-23.1,68,2.13612565445026,0.573558823529412,0.0293395246539101
"10","2","10-P10-G2","MUS",1,0,0.08,0.76,-16.04,-24.17,87,2.49760765550239,0.638321839080459,0.0347819472818384
"11","1","11-P11-R1","SAL",0.67,0.67,0.38,-15.38,-7.78,-8.49,128,2.92015209125475,0.57065625,0.0203753410623794
"11","2","11-P11-R1","MUS",0,0.33,-0.07,40.26,19.35,17.24,49,2.17777777777778,0.544979591836735,0.0176229487991828
"12","1","12-P11-G2","MUS",1,-0.13,-0.26,25,-1.15,-10.64,199,2.89805825242718,0.573944723618091,0.0438733595095392
"12","2","12-P11-G2","SAL",1,0.4,0.44,8.45,-22.47,-27.27,150,3.05084745762712,0.6142,0.0450081080362283
