animal,Group,Context,DR1,DR3,tot1,tot3,Dis1,Dis3,perchangerearmeandur1,perchangerearmeandur3,rearnum1,rearnum3,rearmeandur1,rearmeandur3,Dis10S,tot10S,rearnum10S,reartime10S,rearmeandur10S,perchangereartime1,perchangereartime3,reartime1,reartime3,filter_$
CT1-01-Red1,1,2,0,0,.2,.6,4.82,13.454,44.1666666666667,63.7037037037037,15,45,1.15333333333333,1.47333333333333,21.428, ,79,105,1.33,96.5909090909091,234.848484848485,17.3,66.3,1
CT1-02-Blue1,1,2,1,-.333333333333333,.1,.9,9.072,21.92,28.868778280543,-35.8475479744136,17,40,1.04705882352941,1.0375,23.543, ,67,194.8,2.91,36.9230769230769,-11.5138592750533,17.8,41.5,1
CT1-11-Green2,1,2,.2,.25,.5,2.4,7.762,19.676,-29.3628808864266,-7.94887039239,19,58,.447368421052632,.68448275862069,53.278, ,141,135.8,.96,11.8421052631579,36.8965517241379,8.5,39.7,1
CT1-12-Black2,1,2,.333333333333333,.2,.6,1.5,9.004,24.551,34.3283582089552,17.8900411331904,12,41,.9,.973170731707317,21.129, ,83,91.9,1.11,61.1940298507463,-5.22565320665084,10.8,39.9,1
CT1-13-Red2,1,2,-1,.631578947368421,.2,3.8,11.169,25.12,23.6842105263158,26.8227424749164,19,55,.742105263157895,.861818181818182,33.525, ,83,81.2,.98,67.8571428571428,58.5284280936455,14.1,47.4,1
CT1-14-Blue2,1,2,-.142857142857143,-.2,.7,1,7.9,21.634,67.032967032967,63.8906961613533,14,53,1.49285714285714,1.29622641509434,20.213, ,69,62.1,.9,46.1538461538461,294.827586206897,20.9,68.7,1
CT1-05-Black1,1,1,.818181818181818,.733333333333333,1.1,1.5,9.067,22.458,40.7366071428571,25.7781998522739,16,39,.60625,.764102564102564,45.047, ,157,156.1,.99,73.2142857142857,22.6337448559671,9.7,29.8,1
CT1-06-Blue2,1,1,-.142857142857143,.363636363636364,.7,2.2,8.203,16.321,13.4050179211469,17.4164962508521,15,42,.753333333333333,1.08333333333333,31.043, ,140,181.7,1.3,21.505376344086,-6.95296523517382,11.3,45.5,1
CT1-19-Green2,1,1,.333333333333333,.4,.6,1,7.544,16.73,-25.974025974026,-30.8082408874802,13,30,.6,.74,33.239, ,79,86.7,1.1,-49.3506493506493,-64.8177496038035,7.8,22.2,1
CT1-20-Black2,1,1,.25,0,.8,1.6,8.566,21.555,-1.04166666666666,10.4179212332892,12,46,.475,.830434782608696,19.844, ,59,71.1,1.21,-40.625,5.81717451523546,5.7,38.2,1
